,match,team,batting_Pos,batsman,out/not out,run,ball,m,fours,sixes,strike_rate,match_id
236,Australia Vs Ireland,Ireland,1,Paul Stirling,out,11,7,11,1,1,157.14,T20I # 1855
237,Australia Vs Ireland,Ireland,2,Andy Balbirnie (c),out,6,7,11,0,1,85.71,T20I # 1855
238,Australia Vs Ireland,Ireland,3,Lorcan Tucker †,not out,71,48,81,9,1,147.91,T20I # 1855
239,Australia Vs Ireland,Ireland,4,Harry Tector,out,6,4,3,1,0,150,T20I # 1855
240,Australia Vs Ireland,Ireland,5,Curtis Campher,out,0,1,5,0,0,0,T20I # 1855
241,Australia Vs Ireland,Ireland,6,George Dockrell,out,0,4,4,0,0,0,T20I # 1855
242,Australia Vs Ireland,Ireland,7,Gareth Delany,out,14,10,27,2,0,140,T20I # 1855
243,Australia Vs Ireland,Ireland,8,Mark Adair,out,11,11,13,1,0,100,T20I # 1855
244,Australia Vs Ireland,Ireland,9,Fionn Hand,out,6,6,10,1,0,100,T20I # 1855
245,Australia Vs Ireland,Ireland,10,Barry McCarthy,out,3,7,16,0,0,42.85,T20I # 1855
246,Australia Vs Ireland,Ireland,11,Josh Little,out,1,5,6,0,0,20,T20I # 1855
247,India Vs South Africa,India,1,KL Rahul,out,9,14,25,0,1,64.28,T20I # 1853
248,India Vs South Africa,India,2,Rohit Sharma (c),out,15,14,22,1,1,107.14,T20I # 1853
249,India Vs South Africa,India,3,Virat Kohli,out,12,11,13,2,0,109.09,T20I # 1853
250,India Vs South Africa,India,4,Suryakumar Yadav,out,68,40,68,6,3,170,T20I # 1853
251,India Vs South Africa,India,5,Deepak Hooda,out,0,3,4,0,0,0,T20I # 1853
252,India Vs South Africa,India,6,Hardik Pandya,out,2,3,6,0,0,66.66,T20I # 1853
253,India Vs South Africa,India,7,Dinesh Karthik †,out,6,15,33,0,0,40,T20I # 1853
254,India Vs South Africa,India,8,Ravichandran Ashwin,out,7,11,15,0,0,63.63,T20I # 1853
255,India Vs South Africa,India,9,Bhuvneshwar Kumar,not out,4,6,9,0,0,66.66,T20I # 1853
256,India Vs South Africa,India,10,Mohammed Shami,out,0,2,5,0,0,0,T20I # 1853
257,India Vs South Africa,India,11,Arshdeep Singh,not out,2,1,2,0,0,200,T20I # 1853
258,India Vs South Africa,South Africa,1,Quinton de Kock †,out,1,3,7,0,0,33.33,T20I # 1853
259,India Vs South Africa,South Africa,2,Temba Bavuma (c),out,10,15,30,0,1,66.66,T20I # 1853
260,India Vs South Africa,South Africa,3,Rilee Rossouw,out,0,2,4,0,0,0,T20I # 1853
261,India Vs South Africa,South Africa,4,Aiden Markram,out,52,41,72,6,1,126.82,T20I # 1853
262,India Vs South Africa,South Africa,5,David Miller,not out,59,46,78,4,3,128.26,T20I # 1853
263,India Vs South Africa,South Africa,6,Tristan Stubbs,out,6,6,15,1,0,100,T20I # 1853
264,India Vs South Africa,South Africa,7,Wayne Parnell,not out,2,5,11,0,0,40,T20I # 1853
265,Netherlands Vs Pakistan,Netherlands,1,Stephan Myburgh,out,6,11,13,1,0,54.54,T20I # 1852
266,Netherlands Vs Pakistan,Netherlands,2,Max O'Dowd,out,8,13,41,0,0,61.53,T20I # 1852
267,Netherlands Vs Pakistan,Netherlands,3,Bas de Leede,out,6,16,15,1,0,37.5,T20I # 1852
268,Netherlands Vs Pakistan,Netherlands,4,Tom Cooper,out,1,2,4,0,0,50,T20I # 1852
269,Netherlands Vs Pakistan,Netherlands,5,Colin Ackermann,out,27,27,40,2,0,100,T20I # 1852
270,Netherlands Vs Pakistan,Netherlands,6,Scott Edwards (c)†,out,15,20,38,1,0,75,T20I # 1852
271,Netherlands Vs Pakistan,Netherlands,7,Roelof van der Merwe,out,5,6,12,0,0,83.33,T20I # 1852
272,Netherlands Vs Pakistan,Netherlands,8,Tim Pringle,out,5,8,15,0,0,62.5,T20I # 1852
273,Netherlands Vs Pakistan,Netherlands,9,Logan van Beek,not out,6,9,18,0,0,66.66,T20I # 1852
274,Netherlands Vs Pakistan,Netherlands,10,Fred Klaassen,out,0,1,1,0,0,0,T20I # 1852
275,Netherlands Vs Pakistan,Netherlands,11,Paul van Meekeren,out,7,7,8,0,0,100,T20I # 1852
276,Netherlands Vs Pakistan,Pakistan,1,Mohammad Rizwan †,out,49,39,66,5,0,125.64,T20I # 1852
277,Netherlands Vs Pakistan,Pakistan,2,Babar Azam (c),out,4,5,10,1,0,80,T20I # 1852
278,Netherlands Vs Pakistan,Pakistan,3,Fakhar Zaman,out,20,16,27,3,0,125,T20I # 1852
279,Netherlands Vs Pakistan,Pakistan,4,Shan Masood,out,12,16,35,0,0,75,T20I # 1852
280,Netherlands Vs Pakistan,Pakistan,5,Iftikhar Ahmed,not out,6,5,10,0,0,120,T20I # 1852
281,Netherlands Vs Pakistan,Pakistan,6,Shadab Khan,not out,4,2,2,1,0,200,T20I # 1852
282,Bangladesh Vs Zimbabwe,Bangladesh,1,Najmul Hossain Shanto,out,71,55,77,7,1,129.09,T20I # 1851
283,Bangladesh Vs Zimbabwe,Bangladesh,2,Soumya Sarkar,out,0,2,9,0,0,0,T20I # 1851
284,Bangladesh Vs Zimbabwe,Bangladesh,3,Litton Das,out,14,12,22,3,0,116.66,T20I # 1851
285,Bangladesh Vs Zimbabwe,Bangladesh,4,Shakib Al Hasan (c),out,23,20,32,1,0,115,T20I # 1851
286,Bangladesh Vs Zimbabwe,Bangladesh,5,Afif Hossain,out,29,19,40,1,1,152.63,T20I # 1851
287,Bangladesh Vs Zimbabwe,Bangladesh,6,Mosaddek Hossain,out,7,10,18,0,0,70,T20I # 1851
288,Bangladesh Vs Zimbabwe,Bangladesh,7,Nurul Hasan †,out,1,1,5,0,0,100,T20I # 1851
289,Bangladesh Vs Zimbabwe,Bangladesh,8,Yasir Ali,not out,1,1,3,0,0,100,T20I # 1851
290,Bangladesh Vs Zimbabwe,Zimbabwe,1,Wessly Madhevere,out,4,3,1,1,0,133.33,T20I # 1851
291,Bangladesh Vs Zimbabwe,Zimbabwe,2,Craig Ervine (c),out,8,7,16,2,0,114.28,T20I # 1851
292,Bangladesh Vs Zimbabwe,Zimbabwe,3,Milton Shumba,out,8,15,24,1,0,53.33,T20I # 1851
293,Bangladesh Vs Zimbabwe,Zimbabwe,4,Sean Williams,out,64,42,75,8,0,152.38,T20I # 1851
294,Bangladesh Vs Zimbabwe,Zimbabwe,5,Sikandar Raza,out,0,3,4,0,0,0,T20I # 1851
295,Bangladesh Vs Zimbabwe,Zimbabwe,6,Regis Chakabva †,out,15,19,24,0,0,78.94,T20I # 1851
296,Bangladesh Vs Zimbabwe,Zimbabwe,7,Ryan Burl,not out,27,25,50,2,1,108,T20I # 1851
297,Bangladesh Vs Zimbabwe,Zimbabwe,8,Brad Evans,out,2,2,5,0,0,100,T20I # 1851
298,Bangladesh Vs Zimbabwe,Zimbabwe,9,Richard Ngarava,out,6,3,6,0,1,200,T20I # 1851
299,Bangladesh Vs Zimbabwe,Zimbabwe,10,Blessing Muzarabani,not out,0,2,6,0,0,0,T20I # 1851
300,New Zealand Vs Sri Lanka,New Zealand,1,Finn Allen,out,1,3,3,0,0,33.33,T20I # 1850
301,New Zealand Vs Sri Lanka,New Zealand,2,Devon Conway †,out,1,4,14,0,0,25,T20I # 1850
302,New Zealand Vs Sri Lanka,New Zealand,3,Kane Williamson (c),out,8,13,18,1,0,61.53,T20I # 1850
303,New Zealand Vs Sri Lanka,New Zealand,4,Glenn Phillips,out,104,64,87,10,4,162.5,T20I # 1850
304,New Zealand Vs Sri Lanka,New Zealand,5,Daryl Mitchell,out,22,24,52,0,0,91.66,T20I # 1850
305,New Zealand Vs Sri Lanka,New Zealand,6,James Neesham,out,5,8,15,0,0,62.5,T20I # 1850
306,New Zealand Vs Sri Lanka,New Zealand,7,Mitchell Santner,not out,11,5,17,0,1,220,T20I # 1850
307,New Zealand Vs Sri Lanka,New Zealand,8,Ish Sodhi,out,1,1,3,0,0,100,T20I # 1850
308,New Zealand Vs Sri Lanka,New Zealand,9,Tim Southee,not out,4,1,1,1,0,400,T20I # 1850
309,New Zealand Vs Sri Lanka,Sri Lanka,1,Pathum Nissanka,out,0,5,5,0,0,0,T20I # 1850
310,New Zealand Vs Sri Lanka,Sri Lanka,2,Kusal Mendis †,out,4,3,9,1,0,133.33,T20I # 1850
311,New Zealand Vs Sri Lanka,Sri Lanka,3,Dhananjaya de Silva,out,0,3,8,0,0,0,T20I # 1850
312,New Zealand Vs Sri Lanka,Sri Lanka,4,Charith Asalanka,out,4,8,11,0,0,50,T20I # 1850
313,New Zealand Vs Sri Lanka,Sri Lanka,5,Bhanuka Rajapaksa,out,34,22,38,3,2,154.54,T20I # 1850
314,New Zealand Vs Sri Lanka,Sri Lanka,6,Chamika Karunaratne,out,3,8,13,0,0,37.5,T20I # 1850
315,New Zealand Vs Sri Lanka,Sri Lanka,7,Dasun Shanaka (c),out,35,32,49,4,1,109.37,T20I # 1850
316,New Zealand Vs Sri Lanka,Sri Lanka,8,Wanindu Hasaranga,out,4,6,6,1,0,66.66,T20I # 1850
317,New Zealand Vs Sri Lanka,Sri Lanka,9,Maheesh Theekshana,out,0,3,5,0,0,0,T20I # 1850
318,New Zealand Vs Sri Lanka,Sri Lanka,10,Kasun Rajitha,not out,8,21,30,0,0,38.09,T20I # 1850
319,New Zealand Vs Sri Lanka,Sri Lanka,11,Lahiru Kumara,out,4,5,10,1,0,80,T20I # 1850
320,Zimbabwe Vs Pakistan,Zimbabwe,1,Wessly Madhevere,out,17,13,30,3,0,130.76,T20I # 1849
321,Zimbabwe Vs Pakistan,Zimbabwe,2,Craig Ervine (c),out,19,19,26,2,0,100,T20I # 1849
322,Zimbabwe Vs Pakistan,Zimbabwe,3,Milton Shumba,out,8,10,22,1,0,80,T20I # 1849
323,Zimbabwe Vs Pakistan,Zimbabwe,4,Sean Williams,out,31,28,37,3,0,110.71,T20I # 1849
324,Zimbabwe Vs Pakistan,Zimbabwe,5,Sikandar Raza,out,9,16,22,1,0,56.25,T20I # 1849
325,Zimbabwe Vs Pakistan,Zimbabwe,6,Regis Chakabva †,out,0,1,2,0,0,0,T20I # 1849
326,Zimbabwe Vs Pakistan,Zimbabwe,7,Ryan Burl,not out,10,15,30,0,0,66.66,T20I # 1849
327,Zimbabwe Vs Pakistan,Zimbabwe,8,Luke Jongwe,out,0,1,2,0,0,0,T20I # 1849
328,Zimbabwe Vs Pakistan,Zimbabwe,9,Brad Evans,out,19,15,24,0,1,126.66,T20I # 1849
329,Zimbabwe Vs Pakistan,Zimbabwe,10,Richard Ngarava,not out,3,2,3,0,0,150,T20I # 1849
330,Zimbabwe Vs Pakistan,Pakistan,1,Mohammad Rizwan †,out,14,16,23,1,1,87.5,T20I # 1849
331,Zimbabwe Vs Pakistan,Pakistan,2,Babar Azam (c),out,4,9,17,1,0,44.44,T20I # 1849
332,Zimbabwe Vs Pakistan,Pakistan,3,Shan Masood,out,44,38,61,3,0,115.78,T20I # 1849
333,Zimbabwe Vs Pakistan,Pakistan,4,Iftikhar Ahmed,out,5,10,16,1,0,50,T20I # 1849
334,Zimbabwe Vs Pakistan,Pakistan,5,Shadab Khan,out,17,14,27,0,1,121.42,T20I # 1849
335,Zimbabwe Vs Pakistan,Pakistan,6,Haider Ali,out,0,1,3,0,0,0,T20I # 1849
336,Zimbabwe Vs Pakistan,Pakistan,7,Mohammad Nawaz,out,22,18,36,1,1,122.22,T20I # 1849
337,Zimbabwe Vs Pakistan,Pakistan,8,Mohammad Wasim,not out,12,13,29,2,0,92.3,T20I # 1849
338,Zimbabwe Vs Pakistan,Pakistan,9,Shaheen Shah Afridi,out,1,1,3,0,0,100,T20I # 1849
339,India Vs Netherlands,India,1,KL Rahul,out,9,12,12,1,0,75,T20I # 1848
340,India Vs Netherlands,India,2,Rohit Sharma (c),out,53,39,53,4,3,135.89,T20I # 1848
341,India Vs Netherlands,India,3,Virat Kohli,not out,62,44,79,3,2,140.9,T20I # 1848
342,India Vs Netherlands,India,4,Suryakumar Yadav,not out,51,25,38,7,1,204,T20I # 1848
343,India Vs Netherlands,Netherlands,1,Vikramjit Singh,out,1,9,13,0,0,11.11,T20I # 1848
344,India Vs Netherlands,Netherlands,2,Max O'Dowd,out,16,10,22,3,0,160,T20I # 1848
345,India Vs Netherlands,Netherlands,3,Bas de Leede,out,16,23,27,0,0,69.56,T20I # 1848
346,India Vs Netherlands,Netherlands,4,Colin Ackermann,out,17,21,31,1,0,80.95,T20I # 1848
347,India Vs Netherlands,Netherlands,5,Tom Cooper,out,9,12,12,0,0,75,T20I # 1848
348,India Vs Netherlands,Netherlands,6,Scott Edwards (c)†,out,5,8,21,0,0,62.5,T20I # 1848
349,India Vs Netherlands,Netherlands,7,Tim Pringle,out,20,15,14,1,1,133.33,T20I # 1848
350,India Vs Netherlands,Netherlands,8,Logan van Beek,out,3,5,11,0,0,60,T20I # 1848
351,India Vs Netherlands,Netherlands,9,Shariz Ahmad,not out,16,11,18,2,0,145.45,T20I # 1848
352,India Vs Netherlands,Netherlands,10,Fred Klaassen,out,0,1,3,0,0,0,T20I # 1848
353,India Vs Netherlands,Netherlands,11,Paul van Meekeren,not out,14,6,9,3,0,233.33,T20I # 1848
354,South Africa Vs Bangladesh,South Africa,1,Temba Bavuma (c),out,2,6,6,0,0,33.33,T20I # 1847
355,South Africa Vs Bangladesh,South Africa,2,Quinton de Kock †,out,63,38,77,7,3,165.78,T20I # 1847
356,South Africa Vs Bangladesh,South Africa,3,Rilee Rossouw,out,109,56,90,7,8,194.64,T20I # 1847
357,South Africa Vs Bangladesh,South Africa,4,Tristan Stubbs,out,7,7,9,1,0,100,T20I # 1847
358,South Africa Vs Bangladesh,South Africa,5,Aiden Markram,out,10,11,16,1,0,90.9,T20I # 1847
359,South Africa Vs Bangladesh,South Africa,6,David Miller,not out,2,4,8,0,0,50,T20I # 1847
360,South Africa Vs Bangladesh,South Africa,7,Wayne Parnell,not out,0,2,2,0,0,0,T20I # 1847
361,South Africa Vs Bangladesh,Bangladesh,1,Najmul Hossain Shanto,out,9,9,15,1,0,100,T20I # 1847
362,South Africa Vs Bangladesh,Bangladesh,2,Soumya Sarkar,out,15,6,11,0,2,250,T20I # 1847
363,South Africa Vs Bangladesh,Bangladesh,3,Litton Das,out,34,31,57,1,1,109.67,T20I # 1847
364,South Africa Vs Bangladesh,Bangladesh,4,Shakib Al Hasan (c),out,1,4,11,0,0,25,T20I # 1847
365,South Africa Vs Bangladesh,Bangladesh,5,Afif Hossain,out,1,5,8,0,0,20,T20I # 1847
366,South Africa Vs Bangladesh,Bangladesh,6,Mehidy Hasan Miraz,out,11,13,17,0,0,84.61,T20I # 1847
367,South Africa Vs Bangladesh,Bangladesh,7,Mosaddek Hossain,out,0,3,4,0,0,0,T20I # 1847
368,South Africa Vs Bangladesh,Bangladesh,8,Nurul Hasan †,out,2,6,7,0,0,33.33,T20I # 1847
369,South Africa Vs Bangladesh,Bangladesh,9,Taskin Ahmed,out,10,17,22,1,0,58.82,T20I # 1847
370,South Africa Vs Bangladesh,Bangladesh,10,Hasan Mahmud,out,0,2,7,0,0,0,T20I # 1847
371,South Africa Vs Bangladesh,Bangladesh,11,Mustafizur Rahman,not out,9,3,8,0,1,300,T20I # 1847
372,Ireland Vs England,Ireland,1,Paul Stirling,out,14,8,16,1,1,175,T20I # 1846
373,Ireland Vs England,Ireland,2,Andy Balbirnie (c),out,62,47,74,5,2,131.91,T20I # 1846
374,Ireland Vs England,Ireland,3,Lorcan Tucker †,out,34,27,42,3,1,125.92,T20I # 1846
375,Ireland Vs England,Ireland,4,Harry Tector,out,0,2,3,0,0,0,T20I # 1846
376,Ireland Vs England,Ireland,5,Curtis Campher,out,18,11,22,3,0,163.63,T20I # 1846
377,Ireland Vs England,Ireland,6,George Dockrell,out,0,1,2,0,0,0,T20I # 1846
378,Ireland Vs England,Ireland,7,Gareth Delany,not out,12,10,22,1,0,120,T20I # 1846
379,Ireland Vs England,Ireland,8,Mark Adair,out,4,4,8,0,0,100,T20I # 1846
380,Ireland Vs England,Ireland,9,Barry McCarthy,out,3,3,4,0,0,100,T20I # 1846
381,Ireland Vs England,Ireland,10,Fionn Hand,out,1,2,4,0,0,50,T20I # 1846
382,Ireland Vs England,Ireland,11,Josh Little,out,0,1,3,0,0,0,T20I # 1846
383,Ireland Vs England,England,1,Jos Buttler (c)†,out,0,2,3,0,0,0,T20I # 1846
384,Ireland Vs England,England,2,Alex Hales,out,7,5,14,1,0,140,T20I # 1846
385,Ireland Vs England,England,3,Dawid Malan,out,35,37,66,2,0,94.59,T20I # 1846
386,Ireland Vs England,England,4,Ben Stokes,out,6,8,14,0,0,75,T20I # 1846
387,Ireland Vs England,England,5,Harry Brook,out,18,21,30,1,0,85.71,T20I # 1846
388,Ireland Vs England,England,6,Moeen Ali,not out,24,12,18,3,1,200,T20I # 1846
389,Ireland Vs England,England,7,Liam Livingstone,not out,1,2,7,0,0,50,T20I # 1846
390,Sri Lanka Vs Australia,Sri Lanka,1,Pathum Nissanka,out,40,45,65,2,0,88.88,T20I # 1845
391,Sri Lanka Vs Australia,Sri Lanka,2,Kusal Mendis †,out,5,6,9,1,0,83.33,T20I # 1845
392,Sri Lanka Vs Australia,Sri Lanka,3,Dhananjaya de Silva,out,26,23,47,3,0,113.04,T20I # 1845
393,Sri Lanka Vs Australia,Sri Lanka,4,Charith Asalanka,not out,38,25,45,3,2,152,T20I # 1845
394,Sri Lanka Vs Australia,Sri Lanka,5,Bhanuka Rajapaksa,out,7,5,9,1,0,140,T20I # 1845
395,Sri Lanka Vs Australia,Sri Lanka,6,Dasun Shanaka (c),out,3,5,6,0,0,60,T20I # 1845
396,Sri Lanka Vs Australia,Sri Lanka,7,Wanindu Hasaranga,out,1,4,8,0,0,25,T20I # 1845
397,Sri Lanka Vs Australia,Sri Lanka,8,Chamika Karunaratne,not out,14,7,16,2,0,200,T20I # 1845
398,Sri Lanka Vs Australia,Australia,1,David Warner,out,11,10,26,0,0,110,T20I # 1845
399,Sri Lanka Vs Australia,Australia,2,Aaron Finch (c),not out,31,42,89,0,1,73.8,T20I # 1845
400,Sri Lanka Vs Australia,Australia,3,Mitchell Marsh,out,17,17,20,1,1,100,T20I # 1845
401,Sri Lanka Vs Australia,Australia,4,Glenn Maxwell,out,23,12,21,2,2,191.66,T20I # 1845
402,Sri Lanka Vs Australia,Australia,5,Marcus Stoinis,not out,59,18,22,4,6,327.77,T20I # 1845
403,Zimbabwe Vs South Africa,Zimbabwe,1,Regis Chakabva †,out,8,8,13,0,1,100,T20I # 1844
404,Zimbabwe Vs South Africa,Zimbabwe,2,Craig Ervine (c),out,2,6,11,0,0,33.33,T20I # 1844
405,Zimbabwe Vs South Africa,Zimbabwe,3,Sean Williams,out,1,1,10,0,0,100,T20I # 1844
406,Zimbabwe Vs South Africa,Zimbabwe,4,Sikandar Raza,out,0,2,3,0,0,0,T20I # 1844
407,Zimbabwe Vs South Africa,Zimbabwe,5,Wessly Madhevere,not out,35,18,37,4,1,194.44,T20I # 1844
408,Zimbabwe Vs South Africa,Zimbabwe,6,Milton Shumba,out,18,20,32,2,0,90,T20I # 1844
409,Zimbabwe Vs South Africa,South Africa,1,Quinton de Kock †,not out,47,18,26,8,1,261.11,T20I # 1844
410,Zimbabwe Vs South Africa,South Africa,2,Temba Bavuma (c),not out,2,2,26,0,0,100,T20I # 1844
411,Bangladesh Vs Netherlands,Bangladesh,1,Najmul Hossain Shanto,out,25,20,31,4,0,125,T20I # 1843
412,Bangladesh Vs Netherlands,Bangladesh,2,Soumya Sarkar,out,14,14,24,2,0,100,T20I # 1843
413,Bangladesh Vs Netherlands,Bangladesh,3,Litton Das,out,9,11,17,0,0,81.81,T20I # 1843
414,Bangladesh Vs Netherlands,Bangladesh,4,Shakib Al Hasan (c),out,7,9,14,0,0,77.77,T20I # 1843
415,Bangladesh Vs Netherlands,Bangladesh,5,Afif Hossain,out,38,27,47,2,2,140.74,T20I # 1843
416,Bangladesh Vs Netherlands,Bangladesh,6,Yasir Ali,out,3,5,9,0,0,60,T20I # 1843
417,Bangladesh Vs Netherlands,Bangladesh,7,Nurul Hasan †,out,13,18,28,0,0,72.22,T20I # 1843
418,Bangladesh Vs Netherlands,Bangladesh,8,Mosaddek Hossain,not out,20,12,12,2,1,166.66,T20I # 1843
419,Bangladesh Vs Netherlands,Bangladesh,9,Taskin Ahmed,out,0,1,3,0,0,0,T20I # 1843
420,Bangladesh Vs Netherlands,Bangladesh,10,Hasan Mahmud,not out,0,3,6,0,0,0,T20I # 1843
421,Bangladesh Vs Netherlands,Netherlands,1,Vikramjit Singh,out,0,1,4,0,0,0,T20I # 1843
422,Bangladesh Vs Netherlands,Netherlands,2,Max O'Dowd,out,8,8,21,0,1,100,T20I # 1843
423,Bangladesh Vs Netherlands,Netherlands,3,Bas de Leede,out,0,1,2,0,0,0,T20I # 1843
424,Bangladesh Vs Netherlands,Netherlands,4,Colin Ackermann,out,62,48,77,6,2,129.16,T20I # 1843
425,Bangladesh Vs Netherlands,Netherlands,5,Tom Cooper,out,0,0,2,0,0,-,T20I # 1843
426,Bangladesh Vs Netherlands,Netherlands,6,Scott Edwards (c)†,out,16,24,33,1,0,66.66,T20I # 1843
427,Bangladesh Vs Netherlands,Netherlands,7,Tim Pringle,out,1,6,5,0,0,16.66,T20I # 1843
428,Bangladesh Vs Netherlands,Netherlands,8,Logan van Beek,out,2,5,9,0,0,40,T20I # 1843
429,Bangladesh Vs Netherlands,Netherlands,9,Shariz Ahmad,out,9,8,9,1,0,112.5,T20I # 1843
430,Bangladesh Vs Netherlands,Netherlands,10,Fred Klaassen,not out,7,6,20,0,0,116.66,T20I # 1843
431,Bangladesh Vs Netherlands,Netherlands,11,Paul van Meekeren,out,24,14,16,3,1,171.42,T20I # 1843
432,Pakistan Vs India,Pakistan,1,Mohammad Rizwan †,out,4,12,25,1,0,33.33,T20I # 1842
433,Pakistan Vs India,Pakistan,2,Babar Azam (c),out,0,1,10,0,0,0,T20I # 1842
434,Pakistan Vs India,Pakistan,3,Shan Masood,not out,52,42,101,5,0,123.8,T20I # 1842
435,Pakistan Vs India,Pakistan,4,Iftikhar Ahmed,out,51,34,43,2,4,150,T20I # 1842
436,Pakistan Vs India,Pakistan,5,Shadab Khan,out,5,6,6,1,0,83.33,T20I # 1842
437,Pakistan Vs India,Pakistan,6,Haider Ali,out,2,4,6,0,0,50,T20I # 1842
438,Pakistan Vs India,Pakistan,7,Mohammad Nawaz,out,9,6,12,2,0,150,T20I # 1842
439,Pakistan Vs India,Pakistan,8,Asif Ali,out,2,3,6,0,0,66.66,T20I # 1842
440,Pakistan Vs India,Pakistan,9,Shaheen Shah Afridi,out,16,8,17,1,1,200,T20I # 1842
441,Pakistan Vs India,Pakistan,10,Haris Rauf,not out,6,4,3,0,1,150,T20I # 1842
442,Pakistan Vs India,India,1,KL Rahul,out,4,8,13,0,0,50,T20I # 1842
443,Pakistan Vs India,India,2,Rohit Sharma (c),out,4,7,20,0,0,57.14,T20I # 1842
444,Pakistan Vs India,India,3,Virat Kohli,not out,82,53,98,6,4,154.71,T20I # 1842
445,Pakistan Vs India,India,4,Suryakumar Yadav,out,15,10,11,2,0,150,T20I # 1842
446,Pakistan Vs India,India,5,Axar Patel,out,2,3,7,0,0,66.66,T20I # 1842
447,Pakistan Vs India,India,6,Hardik Pandya,out,40,37,61,1,2,108.1,T20I # 1842
448,Pakistan Vs India,India,7,Dinesh Karthik †,out,1,2,10,0,0,50,T20I # 1842
449,Pakistan Vs India,India,8,Ravichandran Ashwin,not out,1,1,2,0,0,100,T20I # 1842
450,Ireland Vs Sri Lanka,Ireland,1,Paul Stirling,out,34,25,45,4,1,136,T20I # 1841
451,Ireland Vs Sri Lanka,Ireland,2,Andy Balbirnie (c),out,1,5,7,0,0,20,T20I # 1841
452,Ireland Vs Sri Lanka,Ireland,3,Lorcan Tucker †,out,10,11,20,1,0,90.9,T20I # 1841
453,Ireland Vs Sri Lanka,Ireland,4,Harry Tector,out,45,42,59,2,1,107.14,T20I # 1841
454,Ireland Vs Sri Lanka,Ireland,5,Curtis Campher,out,2,4,6,0,0,50,T20I # 1841
455,Ireland Vs Sri Lanka,Ireland,6,George Dockrell,out,14,16,25,0,0,87.5,T20I # 1841
456,Ireland Vs Sri Lanka,Ireland,7,Gareth Delany,out,9,6,10,1,0,150,T20I # 1841
457,Ireland Vs Sri Lanka,Ireland,8,Mark Adair,out,0,1,5,0,0,0,T20I # 1841
458,Ireland Vs Sri Lanka,Ireland,9,Simi Singh,not out,7,8,9,1,0,87.5,T20I # 1841
459,Ireland Vs Sri Lanka,Ireland,10,Barry McCarthy,not out,2,2,7,0,0,100,T20I # 1841
460,Ireland Vs Sri Lanka,Sri Lanka,1,Kusal Mendis †,not out,68,43,68,5,3,158.13,T20I # 1841
461,Ireland Vs Sri Lanka,Sri Lanka,2,Dhananjaya de Silva,out,31,25,35,2,1,124,T20I # 1841
462,Ireland Vs Sri Lanka,Sri Lanka,3,Charith Asalanka,not out,31,22,33,2,0,140.9,T20I # 1841
463,Afghanistan Vs England,Afghanistan,1,Hazratullah Zazai,out,7,17,31,1,0,41.17,T20I # 1840
464,Afghanistan Vs England,Afghanistan,2,Rahmanullah Gurbaz †,out,10,9,13,0,1,111.11,T20I # 1840
465,Afghanistan Vs England,Afghanistan,3,Ibrahim Zadran,out,32,32,41,3,1,100,T20I # 1840
466,Afghanistan Vs England,Afghanistan,4,Usman Ghani,out,30,30,60,3,0,100,T20I # 1840
467,Afghanistan Vs England,Afghanistan,5,Najibullah Zadran,out,13,11,15,0,1,118.18,T20I # 1840
468,Afghanistan Vs England,Afghanistan,6,Mohammad Nabi (c),out,3,5,7,0,0,60,T20I # 1840
469,Afghanistan Vs England,Afghanistan,7,Azmatullah Omarzai,out,8,6,11,1,0,133.33,T20I # 1840
470,Afghanistan Vs England,Afghanistan,8,Rashid Khan,out,0,1,2,0,0,0,T20I # 1840
471,Afghanistan Vs England,Afghanistan,9,Mujeeb Ur Rahman,out,0,1,3,0,0,0,T20I # 1840
472,Afghanistan Vs England,Afghanistan,10,Fareed Ahmad,not out,2,4,7,0,0,50,T20I # 1840
473,Afghanistan Vs England,Afghanistan,11,Fazalhaq Farooqi,out,0,2,3,0,0,0,T20I # 1840
